"Sector","Ticket type","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021 [note 1]","2022 [note 1]","2023 [note 1]","2024 [note 1]","2025 [note 1]","Average change in price 2025 on 2024 (percentage)","Expenditure weights (percentage)","Real terms change in average price, 2025 on 2024 (percentage)","Real terms change in average price, 2025 on 2004 (percentage)"
"Regional","Advance",100,103.585125056839,109.413854190401,112.877176184537,125.051038505409,134.805729947727,138.159227795343,144.024101111288,151.946547163436,157.835749095085,158.986941144397,161.19675742316,158.629884368192,169.014238564661,177.187128608383,184.165092661063,184.494302737687,190.418030558015,"203.03078265890599","210.37745223337265","227.79440187461708","232.89503489027069","2.2391388786020823","3.3400723410495239","-0.93106697809876537","8.5549361859782422"
"Regional","Anytime",100,104.473971798905,110.041794116201,115.829055027727,122.832900899391,132.212550201275,132.995390894668,141.099759937024,150.425222340907,157.107611810333,161.072847454359,164.861286820634,167.037903728634,170.269110129508,176.595373211323,182.370269801118,186.958530183054,191.368665224468,"198.06733304209999","206.69275532343053","219.99177114035768","229.8569592360337","4.4843441391186909","5.0345876666473259","1.2445195146498822","7.1388557232528074"
"Regional","Off Peak",100,104.272770691815,109.260173627545,114.276117458262,120.0745187155,128.512013989267,130.137399903834,137.846164280526,146.458627542143,152.947932387682,156.117491583247,159.632173639393,161.782689183347,163.892989256694,169.884510819451,175.209365842908,179.284683291742,182.554353764918,"188.917603095506","197.17165659162737","210.23320770146006","220.17356774687602","4.7282539966434127","5.2793623246602461","1.4808662758172708","2.6253204919644961"
"Regional","Season",100,104.105402892083,108.379686289685,113.057804870733,118.440936246397,126.28315894782,126.184107369586,133.524862466509,141.856355513288,148.180675540274,152.43347942668,156.354227519813,157.786259188941,160.197738385277,165.304375661165,169.848582772236,173.606889202225,177.481179943274,"184.755348887233","193.21147166992554","204.20682264424448","207.59886733221279","1.6610829374088572","0.91748686463853613","-1.4911987040611852","-3.235885616249476"
"Regional","Super Off Peak",100,99.935956601651,102.207145789087,111.706426384404,111.819253082844,125.154134990769,134.454095590321,140.206653096596,151.614934822582,162.458829492444,171.835679613153,180.53482818902,180.957819825264,183.884670930118,188.700983946246,195.822386587808,200.43390228885,202.816986200336,"209.33272514181499","221.91755808558605","236.25544734150552","253.91501401007338","7.4747765045353995","0.48902749260087408","4.1422252950924374","18.352579545167348"
"Regional","Other",100,101.925222467355,106.077796359985,107.225667967794,113.277599593734,122.69131358864,123.007362080742,134.317021703025,143.49722381834,149.389237271824,153.796677526852,155.424688645555,157.089761329557,156.43532077536,163.462371434734,166.738074571856,170.241271252691,174.143895370294,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"Regional","All tickets",100,104.226022195801,109.326798358352,114.639437504969,120.946744149605,129.706787726054,130.836851143995,138.54009114085,147.377858619789,153.926305113715,157.513601999094,161.095823617705,162.631974241573,166.054379679763,172.272285580332,177.801875081476,181.467858687577,185.520963127142,"193.004763209223","201.3287677423381","215.00755114158079","223.60144627232262","3.9970201442287112","15.060536689596505","0.77230634130688258","4.2230923584126723"
"Regional","Revenue per journey [r]",100,101.927023363643,105.27705762671,106.489826673088,113.447562077294,116.943181154038,122.855006462824,126.479912711996,132.346115378901,139.442005467809,145.295250698837,148.8824636519,153.106547697162,153.311035108367,159.314364264679,165.157451063547,169.921601523415,173.800799950177,"187.24589449618321","193.56033487641369","199.59988688455891","208.49507380413451","4.4565089982842752","[z]","[z]","[z]"
"All operators","Advance",100,104.525167108711,110.797213051153,122.390359283699,131.543121381659,142.09132298461,140.295826492821,146.845940831267,155.0035695685,161.89168307628,165.27942256516,170.175213837382,170.042832003763,166.158465151192,167.99998346147,172.586963938279,174.637306599965,167.534424682241,"182.322964793898","193.23953892901645","200.53301041351284","212.02017788299887","5.7283174704247823","23.240731234892966","2.449920029481389","-1.1750641611029238"
"All operators","Anytime",100,104.624202481617,112.469798716716,119.615150756984,127.835629488604,138.854413858358,140.877497056596,149.081909107403,158.588926305337,165.199668337517,169.506796940301,172.431314727127,173.954106847989,177.576118021581,183.034773446529,188.176430399767,193.194167497521,198.04158063725,"205.29698665141299","216.43762782307184","227.4998165923638","237.94590498035734","4.5916909052770443","28.411291363307722","1.3485376989118647","10.909202263704433"
"All operators","Off Peak",100,104.844928017761,110.591957995849,115.502068085441,121.563234732853,130.195046002399,131.716704028977,139.908888127373,148.70067760576,155.122472357425,159.091491304235,162.181702688552,163.981465217807,167.181752304639,173.286981138923,178.208985919048,182.830628992525,184.683236180336,"191.61950328074499","202.65715030284017","213.58770024472139","224.36816481982143","5.0473246178259092","32.395143733591716","1.7900432343274368","4.5804683026252828"
"All operators","Season",100,104.635618374694,108.897501747432,114.197328989744,120.702810129916,128.181761028178,128.139417174527,137.111125691342,145.317042624789,151.468915289435,156.130364980394,160.225095624812,161.10922627154,163.587213091997,168.686431359064,173.398229701944,178.116757141671,182.403097905305,"188.84255223883599","199.44226891034344","209.37441749364208","218.36821769935668","4.2955583176668233","7.9149613385184745","1.0615875171190137","1.783826986986379"
"All operators","Super Off Peak",100,104.761904263999,108.677226034835,113.517735014072,122.648219461604,132.813535995304,133.854544665523,140.046205719573,148.424351403919,155.276131516285,159.796079384298,162.352846380341,163.54248945949,166.662544378014,172.710102862688,177.833689611756,182.767569463343,186.712889575176,"193.51993532766201","204.99427927964501","216.48548775225035","229.1783088408346","5.8631279262054532","8.0378723296891295","2.580550316090541","6.8225293130391353"
"All operators","Other",100,104.024855918459,112.02506302257,121.778906726785,134.362085209579,146.670887345853,148.225907538706,160.522406565474,170.950687733972,176.377835085505,179.099979313966,181.319983988473,183.60784603922,184.402174429222,190.849445085201,194.285453923389,199.20702363966,202.52693313303,"[x]","[x]","[x]","[x]","[x]","[x]","[x]","[x]"
"All operators","All tickets",100,104.700796520003,110.817268435062,116.956285934045,124.129478275555,133.514811952655,134.438753619482,142.523324889816,151.254550374743,157.734649712654,161.894542565674,165.416812891302,166.573674731967,168.563470608269,173.493607868287,178.360307976333,182.626529064249,184.804430968773,"193.74963618582399","204.84662701198522","215.01552758889284","225.94307281593805","5.0822121311808548","100","1.8238489643225286","5.3145502339888138"
"All operators","Revenue per journey [r]",100,103.583692317095,107.241278711359,113.55060097869,118.291519646276,123.084890176603,128.79178804082,128.195523177893,130.484346481234,134.015069026463,136.68072899437,138.780813778727,141.744794431303,142.283302691088,147.506113233773,152.712768559064,155.763523557129,127.938760392098,"154.99324063810008","160.43380381383437","164.94061086801636","170.87746010496426","3.5993859885110244","[z]","[z]","[z]"
"Retail Prices Index","Retail Prices Index (all items)",100,103.2,105.6768,110.1152256,114.6299498496,114.74457979945,118.990129252029,125.058625843883,129.935912251794,134.223797356103,137.982063682074,139.499866382577,141.313364645551,144.987512126335,150.787012611388,154.556687926673,158.729718500693,161.110664278203,"175.610624063242","199.31805831177968","207.8887348191862","214.54117433340016","3.2","[z]","[z]","[z]"
